,시도시군구,불투수면 비율(%),불투수면 면적(㎢),행정구역면적(㎢),농업면적,시도구분,연평균강수량,해발고도,연평균기온,농가인구비율
0,종로구,41.46,9.95,23.99,0,서울특별시,116.49,85.6,13.45,0.0014640704189269264
1,중구,77.21,7.71,9.99,0,서울특별시,116.49,85.6,13.45,0.0014640704189269264
2,용산구,48.26,10.57,21.89,0,서울특별시,116.49,85.6,13.45,0.0014640704189269264
3,성동구,64.81,10.9,16.82,0,서울특별시,116.49,85.6,13.45,0.0014640704189269264
4,광진구,63.49,10.82,17.05,0,서울특별시,116.49,85.6,13.45,0.0014640704189269264
5,동대문구,76.1,10.87,14.28,0,서울특별시,116.49,85.6,13.45,0.0014640704189269264
6,중랑구,61.16,11.34,18.54,0,서울특별시,116.49,85.6,13.45,0.0014640704189269264
7,성북구,53.87,13.24,24.58,0,서울특별시,116.49,85.6,13.45,0.0014640704189269264
8,강북구,37.88,8.95,23.64,0,서울특별시,116.49,85.6,13.45,0.0014640704189269264
9,도봉구,43.14,8.93,20.71,0,서울특별시,116.49,85.6,13.45,0.0014640704189269264
10,노원구,39.5,14.06,35.59,0,서울특별시,116.49,85.6,13.45,0.0014640704189269264
11,은평구,43.16,12.86,29.8,0,서울특별시,116.49,85.6,13.45,0.0014640704189269264
12,서대문구,58.39,10.33,17.69,0,서울특별시,116.49,85.6,13.45,0.0014640704189269264
13,마포구,57.2,13.65,23.86,0,서울특별시,116.49,85.6,13.45,0.0014640704189269264
14,양천구,70.05,12.23,17.46,0,서울특별시,116.49,85.6,13.45,0.0014640704189269264
15,강서구,46.28,19.19,41.46,0,서울특별시,116.49,85.6,13.45,0.0014640704189269264
16,구로구,64.84,13.03,20.1,0,서울특별시,116.49,85.6,13.45,0.0014640704189269264
17,금천구,66.27,8.63,13.02,0,서울특별시,116.49,85.6,13.45,0.0014640704189269264
18,영등포구,61.03,14.97,24.52,0,서울특별시,116.49,85.6,13.45,0.0014640704189269264
19,동작구,64.34,10.54,16.38,0,서울특별시,116.49,85.6,13.45,0.0014640704189269264
20,관악구,42.5,12.57,29.58,0,서울특별시,116.49,85.6,13.45,0.0014640704189269264
21,서초구,38.96,18.28,46.92,0,서울특별시,116.49,85.6,13.45,0.0014640704189269264
22,강남구,56.61,22.36,39.49,0,서울특별시,116.49,85.6,13.45,0.0014640704189269264
23,송파구,61.83,20.93,33.85,0,서울특별시,116.49,85.6,13.45,0.0014640704189269264
24,강동구,55.18,13.55,24.56,0,서울특별시,116.49,85.6,13.45,0.0014640704189269264
25,중구,84.12,2.54,3.02,0,부산광역시,148.26,404.62,15.51,0.006970442915712391
26,서구,41.09,5.82,14.16,0,부산광역시,148.26,404.62,15.51,0.006970442915712391
27,동구,63.06,6.39,10.14,0,부산광역시,148.26,404.62,15.51,0.006970442915712391
28,영도구,48.62,7.12,14.65,0,부산광역시,148.26,404.62,15.51,0.006970442915712391
29,부산진구,47.67,14.2,29.78,0,부산광역시,148.26,404.62,15.51,0.006970442915712391
30,동래구,58.88,9.82,16.68,0,부산광역시,148.26,404.62,15.51,0.006970442915712391
31,남구,52.26,14.25,27.27,0,부산광역시,148.26,404.62,15.51,0.006970442915712391
32,북구,24.15,9.6,39.76,0,부산광역시,148.26,404.62,15.51,0.006970442915712391
33,해운대구,28.99,15.17,52.33,0,부산광역시,148.26,404.62,15.51,0.006970442915712391
34,사하구,39.08,18.56,47.49,0,부산광역시,148.26,404.62,15.51,0.006970442915712391
35,금정구,21.21,13.94,65.72,0,부산광역시,148.26,404.62,15.51,0.006970442915712391
36,강서구,29.39,54.63,185.87,0,부산광역시,148.26,404.62,15.51,0.006970442915712391
37,연제구,62.3,7.57,12.15,0,부산광역시,148.26,404.62,15.51,0.006970442915712391
38,수영구,63.06,6.53,10.35,0,부산광역시,148.26,404.62,15.51,0.006970442915712391
39,사상구,41.47,15.03,36.24,0,부산광역시,148.26,404.62,15.51,0.006970442915712391
40,기장군,12.55,27.6,219.9,0,부산광역시,148.26,404.62,15.51,0.006970442915712391
41,중구,82.39,5.81,7.05,0,대구광역시,88.21,57.25,14.65,0.02029030221338789
42,동구,15.74,28.62,181.75,16696,대구광역시,88.21,57.25,14.65,0.02029030221338789
43,서구,76.31,13.29,17.42,0,대구광역시,88.21,57.25,14.65,0.02029030221338789
44,남구,47.39,8.44,17.82,0,대구광역시,88.21,57.25,14.65,0.02029030221338789
45,북구,31.64,29.67,93.77,0,대구광역시,88.21,57.25,14.65,0.02029030221338789
46,수성구,29.1,22.37,76.87,0,대구광역시,88.21,57.25,14.65,0.02029030221338789
47,달서구,52.46,32.83,62.58,0,대구광역시,88.21,57.25,14.65,0.02029030221338789
48,달성군,12.57,53.22,423.25,35204671,대구광역시,88.21,57.25,14.65,0.02029030221338789
49,군위군,3.94,24.17,613.73,216003236,대구광역시,88.21,57.25,14.65,0.02029030221338789
50,중구,30.78,45.71,148.49,0,인천광역시,102.63,68.57,12.96,0.00813790727875054
51,동구,84.53,6.04,7.15,0,인천광역시,102.63,68.57,12.96,0.00813790727875054
52,연수구,39.42,24.91,63.19,0,인천광역시,102.63,68.57,12.96,0.00813790727875054
53,남동구,51.01,29.39,57.61,0,인천광역시,102.63,68.57,12.96,0.00813790727875054
54,부평구,52.94,17.0,32.11,0,인천광역시,102.63,68.57,12.96,0.00813790727875054
55,계양구,34.55,15.73,45.53,0,인천광역시,102.63,68.57,12.96,0.00813790727875054
56,서구,36.11,47.91,132.65,0,인천광역시,102.63,68.57,12.96,0.00813790727875054
57,미추홀구,70.2,17.54,24.98,0,인천광역시,102.63,68.57,12.96,0.00813790727875054
58,강화군,9.24,38.19,413.23,0,인천광역시,104.74,47.42,11.87,0.00813790727875054
59,옹진군,5.78,10.72,185.33,0,인천광역시,102.63,68.57,12.96,0.00813790727875054
60,동구,17.16,8.36,48.74,0,광주광역시,121.26,71.33,14.82,0.021392941666748794
61,서구,43.01,20.44,47.52,0,광주광역시,121.26,71.33,14.82,0.021392941666748794
62,남구,28.45,17.23,60.58,0,광주광역시,121.26,71.33,14.82,0.021392941666748794
63,북구,26.14,31.23,119.46,0,광주광역시,121.26,71.33,14.82,0.021392941666748794
64,광산구,22.6,50.19,222.06,4700699,광주광역시,121.26,71.33,14.82,0.021392941666748794
65,동구,13.49,18.51,137.2,0,대전광역시,117.99,67.79,13.84,0.017499440523864263
66,중구,24.72,15.35,62.1,4170199,대전광역시,117.99,67.79,13.84,0.017499440523864263
67,서구,25.69,24.51,95.43,16391841,대전광역시,117.99,67.79,13.84,0.017499440523864263
68,유성구,20.24,35.63,176.06,0,대전광역시,117.99,67.79,13.84,0.017499440523864263
69,대덕구,30.28,20.93,69.13,0,대전광역시,117.99,67.79,13.84,0.017499440523864263
70,중구,34.2,12.65,36.99,0,울산광역시,117.99,67.79,13.84,0.024371616877675355
71,남구,52.82,39.38,74.56,0,울산광역시,117.99,67.79,13.84,0.024371616877675355
72,동구,38.23,14.03,36.71,0,울산광역시,117.99,67.79,13.84,0.024371616877675355
73,북구,16.82,26.6,158.13,0,울산광역시,117.99,67.79,13.84,0.024371616877675355
74,울주군,9.54,72.29,757.93,0,울산광역시,117.99,67.79,13.84,0.024371616877675355
75,세종특별자치시,12.54,58.36,465.22,0,세종특별자치시,127.42,91.75,13.33,0.035706060610003476
76,수원시 장안구,33.25,11.09,33.34,0,경기도,113.92,35.5775,13.05,0.019523692018979674
77,수원시 권선구,41.7,19.66,47.15,0,경기도,113.92,35.5775,13.05,0.019523692018979674
78,수원시 팔달구,71.29,9.17,12.87,0,경기도,113.92,35.5775,13.05,0.019523692018979674
79,수원시 영통구,52.28,14.48,27.7,3,경기도,113.92,35.5775,13.05,0.019523692018979674
80,성남시 수정구,24.98,11.31,45.27,0,경기도,114.2775,74.7595,12.965,0.019523692018979674
81,성남시 중원구,33.28,8.79,26.41,0,경기도,114.2775,74.7595,12.965,0.019523692018979674
82,성남시 분당구,29.83,20.83,69.82,2565,경기도,114.2775,74.7595,12.965,0.019523692018979674
83,의정부시,25.16,20.58,81.82,6009,경기도,113.63,73.323,16.39,0.019523692018979674
84,안양시 만안구,26.36,9.63,36.54,0,경기도,114.2775,74.7595,12.965,0.019523692018979674
85,안양시 동안구,47.35,10.41,21.98,0,경기도,114.2775,74.7595,12.965,0.019523692018979674
86,부천시,57.18,30.65,53.59,0,경기도,114.2775,74.7595,12.965,0.019523692018979674
87,광명시,36.05,13.9,38.55,0,경기도,114.2775,74.7595,12.965,0.019523692018979674
88,평택시,22.49,103.32,459.4,0,경기도,114.2775,74.7595,12.965,0.019523692018979674
89,동두천시,11.8,11.32,95.92,30894898,경기도,118.62,115.62,11.93,0.019523692018979674
90,안산시 상록구,32.62,19.05,58.4,0,경기도,114.2775,74.7595,12.965,0.019523692018979674
91,안산시 단원구,31.17,35.68,114.47,0,경기도,114.2775,74.7595,12.965,0.019523692018979674
92,고양시 덕양구,23.04,38.08,165.27,0,경기도,114.2775,74.7595,12.965,0.019523692018979674
93,고양시 일산동구,42.54,25.52,59.98,9709868,경기도,114.2775,74.7595,12.965,0.019523692018979674
94,고양시 일산서구,41.46,17.13,41.32,14823068,경기도,114.2775,74.7595,12.965,0.019523692018979674
95,과천시,19.46,6.98,35.85,0,경기도,114.2775,74.7595,12.965,0.019523692018979674
96,구리시,33.1,10.99,33.2,0,경기도,114.2775,74.7595,12.965,0.019523692018979674
97,남양주시,14.8,68.03,459.69,95949894,경기도,114.2775,74.7595,12.965,0.019523692018979674
98,오산시,38.66,16.49,42.66,833,경기도,114.2775,74.7595,12.965,0.019523692018979674
99,시흥시,35.31,50.01,141.64,0,경기도,114.2775,74.7595,12.965,0.019523692018979674
100,군포시,33.49,12.19,36.4,0,경기도,114.2775,74.7595,12.965,0.019523692018979674
101,의왕시,21.85,11.78,53.9,0,경기도,114.2775,74.7595,12.965,0.019523692018979674
102,하남시,22.47,20.86,92.84,0,경기도,114.2775,74.7595,12.965,0.019523692018979674
103,용인시 처인구,13.48,63.09,467.87,0,경기도,114.2775,74.7595,12.965,0.019523692018979674
104,용인시 기흥구,32.36,26.46,81.76,0,경기도,114.2775,74.7595,12.965,0.019523692018979674
105,용인시 수지구,28.62,12.06,42.14,14071,경기도,114.2775,74.7595,12.965,0.019523692018979674
106,파주시,12.44,85.74,689.27,0,경기도,109.04,30.005,11.14,0.019523692018979674
107,이천시,16.39,75.68,461.89,0,경기도,115.82,80.09,12.4,0.019523692018979674
108,안성시,13.21,73.11,553.35,142038092,경기도,114.2775,74.7595,12.965,0.019523692018979674
109,김포시,23.53,66.14,281.02,73086713,경기도,114.2775,74.7595,12.965,0.019523692018979674
110,화성시,21.06,166.79,791.99,0,경기도,114.2775,74.7595,12.965,0.019523692018979674
111,광주시,13.51,58.1,430,100584430,경기도,114.2775,74.7595,12.965,0.019523692018979674
112,양주시,15.73,48.84,310.48,71012724,경기도,114.2775,74.7595,12.965,0.019523692018979674
113,포천시,9.37,77.42,825.82,323480712,경기도,114.2775,74.7595,12.965,0.019523692018979674
114,여주시,10.16,61.7,607.4,0,경기도,114.2775,74.7595,12.965,0.019523692018979674
115,연천군,4.56,31.77,696.91,0,경기도,114.2775,74.7595,12.965,0.019523692018979674
116,가평군,3.74,31.42,840.78,310104402,경기도,114.2775,74.7595,12.965,0.019523692018979674
117,양평군,5.99,52.57,876.85,0,경기도,114.2775,74.7595,12.965,0.019523692018979674
118,춘천시,4.76,53.08,"1,115.63",0,강원특별자치도,111.66,76.14,12.12,0.09150012149888359
119,원주시,7.09,61.49,867.08,0,강원특별자치도,100.23,150.11,12.82,0.09150012149888359
120,강릉시,4.79,49.94,"1,041.68",0,강원특별자치도,131.16,27.12,14.57,0.09150012149888359
121,동해시,9.52,17.28,181.45,0,강원특별자치도,111.03,40.46,13.52,0.09150012149888359
122,태백시,4.01,12.16,303.56,0,강원특별자치도,111.27,714.45,9.56,0.09150012149888359
123,속초시,9.28,9.83,105.94,0,강원특별자치도,136.45,17.8,13.22,0.09150012149888359
124,삼척시,2.56,30.46,"1,189.53",0,강원특별자치도,112.33,239.145,11.696666666666667,0.09150012149888359
125,홍천군,2.55,46.41,"1,817.90",0,강원특별자치도,107.72,140.2,11.64,0.09150012149888359
126,횡성군,3.89,38.83,998.08,0,강원특별자치도,112.33,239.145,11.696666666666667,0.09150012149888359
127,영월군,2.38,26.83,"1,127.15",213292,강원특별자치도,103.3,240.57,11.95,0.09150012149888359
128,평창군,2.69,39.36,"1,464.28",0,강원특별자치도,116.19,795.84,7.84,0.09150012149888359
129,정선군,2.18,26.62,"1,219.89",0,강원특별자치도,102.91,309.79,11.08,0.09150012149888359
130,철원군,4.03,35.91,890.44,89760,강원특별자치도,117.86,155.48,10.94,0.09150012149888359
131,화천군,1.86,16.89,907.65,336686,강원특별자치도,112.33,239.145,11.696666666666667,0.09150012149888359
132,양구군,2.91,19.21,661.38,0,강원특별자치도,112.33,239.145,11.696666666666667,0.09150012149888359
133,인제군,1.37,22.46,"1,641.47",0,강원특별자치도,98.18,201.78,11.1,0.09150012149888359
134,고성군,3.2,21.2,661.82,0,강원특별자치도,112.33,239.145,11.696666666666667,0.09150012149888359
135,양양군,3.09,19.53,631.53,0,강원특별자치도,112.33,239.145,11.696666666666667,0.09150012149888359
136,충주시,7.04,69.1,981.73,335833190,충청북도,112.26,114.85,12.26,0.09124540322651667
137,제천시,4.63,40.91,882.85,0,충청북도,114.01,264.62,10.94,0.09124540322651667
138,청주시 상당구,6.99,28.21,403.38,119573291,충청북도,106.12,58.7,14.13,0.09124540322651667
139,청주시 서원구,18.64,22.94,123.08,17723651,충청북도,106.12,58.7,14.13,0.09124540322651667
140,청주시 흥덕구,22.96,45.64,198.78,0,충청북도,106.12,58.7,14.13,0.09124540322651667
141,청주시 청원구,17.4,37.38,214.81,52512753,충청북도,106.12,58.7,14.13,0.09124540322651667
142,보은군,4.87,28.43,583.73,170921439,충청남도,112.426,49.11,12.884,0.06842282402348546
143,옥천군,5.9,31.97,541.71,221856885,충청남도,112.426,49.11,12.884,0.06842282402348546
144,영동군,4.04,34.42,852.79,0,충청남도,112.426,49.11,12.884,0.06842282402348546
145,진천군,11.66,47.61,408.15,217492529,충청남도,112.426,49.11,12.884,0.06842282402348546
146,괴산군,4.11,34.64,842.16,441805606,충청남도,112.426,49.11,12.884,0.06842282402348546
147,음성군,12.8,66.48,519.47,0,충청남도,112.426,49.11,12.884,0.06842282402348546
148,단양군,2.8,21.86,780.63,284523325,충청남도,112.426,49.11,12.884,0.06842282402348546
149,증평군,12.29,10.07,81.9,16390828,충청남도,112.426,49.11,12.884,0.06842282402348546
150,천안시 동남구,11.94,52.35,438.63,0,충청남도,98.54,41.37,12.27,0.11213610883839033
151,천안시 서북구,24.48,48.49,198.07,0,충청남도,98.54,41.37,12.27,0.11213610883839033
152,공주시,6.71,57.99,863.83,236386575,충청남도,112.426,49.11,12.884,0.11213610883839033
153,보령시,8.54,49.95,584.63,0,충청남도,106.17,9.98,13.33,0.11213610883839033
154,아산시,15.14,82.26,543.24,0,충청남도,112.426,49.11,12.884,0.11213610883839033
155,서산시,8.69,64.75,744.64,333856677,충청남도,110.26,25.59,12.71,0.11213610883839033
156,논산시,14.7,81.44,553.9,0,충청남도,112.426,49.11,12.884,0.11213610883839033
157,계룡시,8.86,5.39,60.81,1220,충청남도,112.426,49.11,12.884,0.11213610883839033
158,당진시,11.0,78.09,710.1,0,충청남도,112.426,49.11,12.884,0.11213610883839033
159,금산군,6.11,35.22,576.69,182762836,충청남도,113.58,172.69,12.46,0.11213610883839033
160,부여군,10.57,66.03,624.53,0,충청남도,120.34,13.42,13.01,0.11213610883839033
161,서천군,9.91,36.45,367.91,0,충청남도,112.426,49.11,12.884,0.11213610883839033
162,청양군,6.55,31.42,479.7,0,충청남도,112.426,49.11,12.884,0.11213610883839033
163,홍성군,10.76,47.76,443.82,0,충청남도,111.78,23.87,12.91,0.11213610883839033
164,예산군,10.5,57.05,543.52,0,충청남도,112.426,49.11,12.884,0.11213610883839033
165,태안군,8.17,43.83,536.41,135050378,충청남도,112.426,49.11,12.884,0.11213610883839033
166,전주시 완산구,26.76,24.68,92.21,0,전라북도,119.96,55.75,14.24,0.10196802465053462
167,전주시 덕진구,31.29,35.42,113.23,0,전라북도,119.96,55.75,14.24,0.10196802465053462
168,군산시,17.79,74.41,418.14,0,전라북도,119.8,25.54,13.52,0.10196802465053462
169,익산시,16.59,84.17,507.41,0,전라북도,122.705,163.76166666666666,12.855,0.10196802465053462
170,정읍시,9.12,63.62,697.63,0,전라북도,118.64,56.65,13.47,0.10196802465053462
171,남원시,7.75,58.16,750.31,0,전라북도,118.41,117.09,13.25,0.10196802465053462
172,김제시,13.27,72.54,546.55,0,전라북도,122.705,163.76166666666666,12.855,0.10196802465053462
173,완주군,6.99,57.43,822.15,0,전라북도,122.705,163.76166666666666,12.855,0.10196802465053462
174,진안군,3.37,26.59,789.06,0,전라북도,122.705,163.76166666666666,12.855,0.10196802465053462
175,무주군,3.32,20.89,630.09,171632685,전라북도,122.705,163.76166666666666,12.855,0.10196802465053462
176,장수군,4.74,25.23,532.17,105206146,전라북도,132.63,406.87,11.38,0.10196802465053462
177,임실군,4.83,28.8,596.61,0,전라북도,119.69,247.04,12.29,0.10196802465053462
178,순창군,5.61,28.02,499.78,0,전라북도,127.06,129.38,13.22,0.10196802465053462
179,고창군,9.43,57.77,612.42,0,전라북도,122.705,163.76166666666666,12.855,0.10196802465053462
180,부안군,8.47,45.02,531.35,0,전라북도,122.705,163.76166666666666,12.855,0.10196802465053462
181,목포시,41.54,22.47,54.09,0,전라남도,103.59,41.35,14.49,0.15410100276621344
182,여수시,12.14,64.24,529.05,0,전라남도,131.03,65.93,15.27,0.15410100276621344
183,순천시,6.87,62.61,911.63,0,전라남도,131.31,165.0,13.18,0.15410100276621344
184,나주시,11.07,67.06,605.81,2068,전라남도,122.167,71.30199999999999,14.152,0.15410100276621344
185,광양시,14.24,67.04,470.9,0,전라남도,136.59,84.56,15.23,0.15410100276621344
186,담양군,8.25,37.39,453.52,0,전라남도,122.167,71.30199999999999,14.152,0.15410100276621344
187,곡성군,4.74,25.99,548.34,44622974,전라남도,122.167,71.30199999999999,14.152,0.15410100276621344
188,구례군,4.17,18.32,439.64,127150499,전라남도,122.167,71.30199999999999,14.152,0.15410100276621344
189,고흥군,6.37,51.99,815.46,0,전라남도,122.167,71.30199999999999,14.152,0.15410100276621344
190,보성군,5.57,37.13,666.36,0,전라남도,131.3,1.87,14.58,0.15410100276621344
191,화순군,4.29,33.79,788.15,330141935,전라남도,122.167,71.30199999999999,14.152,0.15410100276621344
192,장흥군,5.23,32.54,622.44,0,전라남도,124.96,43.99,14.01,0.15410100276621344
193,강진군,6.25,31.36,501.8,0,전라남도,128.22,12.98,14.46,0.15410100276621344
194,해남군,6.69,70.11,"1,048.15",0,전라남도,107.93,16.36,13.64,0.15410100276621344
195,영암군,10.03,61.35,611.62,214725956,전라남도,122.167,71.30199999999999,14.152,0.15410100276621344
196,무안군,10.35,47.3,456.95,0,전라남도,122.167,71.30199999999999,14.152,0.15410100276621344
197,함평군,8.37,32.63,389.94,2819,전라남도,122.167,71.30199999999999,14.152,0.15410100276621344
198,영광군,8.1,38.92,480.37,0,전라남도,109.34,37.2,13.53,0.15410100276621344
199,장성군,6.99,36.22,518.05,164374876,전라남도,122.167,71.30199999999999,14.152,0.15410100276621344
200,완도군,6.94,28.36,408.67,0,전라남도,122.167,71.30199999999999,14.152,0.15410100276621344
201,진도군,5.61,25.35,451.93,0,전라남도,117.4,243.78,13.13,0.15410100276621344
202,신안군,5.93,40.25,679.2,0,전라남도,122.167,71.30199999999999,14.152,0.15410100276621344
203,포항시 남구,13.75,54.57,396.84,44954913,경상북도,104.55,3.94,15.22,0.12915653834208912
204,포항시 북구,5.72,42.18,737.67,247919606,경상북도,104.55,3.94,15.22,0.12915653834208912
205,경주시,6.95,91.81,"1,321.68",0,경상북도,97.27,40.13,13.93,0.12915653834208912
206,김천시,6.43,64.68,"1,005.54",462533536,경상북도,103.22,96.68909090909092,13.393636363636364,0.12915653834208912
207,안동시,4.21,64.35,"1,528.42",533151873,경상북도,87.58,140.42,12.78,0.12915653834208912
208,구미시,12.04,73.91,613.89,204345095,경상북도,103.22,96.68909090909092,13.393636363636364,0.12915653834208912
209,영주시,5.97,40.21,673.25,0,경상북도,121.31,211.32,11.96,0.12915653834208912
210,영천시,5.72,52.41,916.1,324830811,경상북도,90.15,96.12,13.51,0.12915653834208912
211,상주시,5.34,66.91,"1,252.77",584543175,경상북도,108.0,96.58,13.33,0.12915653834208912
212,문경시,3.89,35.62,914.82,0,경상북도,117.9,172.21,12.65,0.12915653834208912
213,경산시,13.68,56.26,411.26,100985624,경상북도,103.22,96.68909090909092,13.393636363636364,0.12915653834208912
214,의성군,3.92,45.93,"1,170.56",680895745,경상북도,103.22,96.68909090909092,13.393636363636364,0.12915653834208912
215,청송군,2.2,18.62,847.69,0,경상북도,90.54,208.65,11.53,0.12915653834208912
216,영양군,1.96,16.04,820.1,535840519,경상북도,103.22,96.68909090909092,13.393636363636364,0.12915653834208912
217,영덕군,3.14,23.41,745.39,411175546,경상북도,103.44,40.95,13.69,0.12915653834208912
218,청도군,4.42,30.66,693.69,415754081,경상북도,103.22,96.68909090909092,13.393636363636364,0.12915653834208912
219,고령군,8.18,31.66,386.81,216202705,경상북도,103.22,96.68909090909092,13.393636363636364,0.12915653834208912
220,성주군,11.73,71.92,613.12,344470605,경상북도,103.22,96.68909090909092,13.393636363636364,0.12915653834208912
221,칠곡군,10.96,49.39,450.5,107995388,경상북도,103.22,96.68909090909092,13.393636363636364,0.12915653834208912
222,예천군,5.76,38.31,664.88,0,경상북도,103.22,96.68909090909092,13.393636363636364,0.12915653834208912
223,봉화군,2.63,31.59,"1,202.30",0,경상북도,103.22,96.68909090909092,13.393636363636364,0.12915653834208912
224,울진군,2.58,25.69,995.6,340828230,경상북도,110.13,49.32,13.51,0.12915653834208912
225,울릉군,3.65,2.7,73.98,13071791,경상북도,103.22,96.68909090909092,13.393636363636364,0.12915653834208912
226,진주시,11.6,82.72,713.1,0,경상남도,132.86,26.96,13.89,0.07242445847147301
227,통영시,8.65,21.57,249.31,0,경상남도,150.88,31.24,15.2,0.07242445847147301
228,사천시,9.62,38.69,402.21,0,경상남도,129.98,66.20545454545454,14.188181818181818,0.07242445847147301
229,김해시,19.98,92.34,462.19,0,경상남도,124.62,54.59,15.1,0.07242445847147301
230,밀양시,9.3,74.57,801.95,266467374,경상남도,108.84,8.31,14.38,0.07242445847147301
231,거제시,9.77,40.07,409.95,0,경상남도,185.7,44.83,15.09,0.07242445847147301
232,양산시,10.49,51.09,487.04,11804157,경상남도,136.6,6.29,15.32,0.07242445847147301
233,창원시 의창구,18.45,37.69,204.3,0,경상남도,134.57,27.67,14.65,0.07242445847147301
234,창원시 성산구,34.61,30.85,89.15,0,경상남도,134.57,27.67,14.65,0.07242445847147301
235,창원시 마산합포구,9.72,23.64,243.15,0,경상남도,134.57,27.67,14.65,0.07242445847147301
236,창원시 마산회원구,15.81,14.38,90.95,2458174,경상남도,134.57,27.67,14.65,0.07242445847147301
237,창원시 진해구,17.75,22.62,127.42,0,경상남도,134.57,27.67,14.65,0.07242445847147301
238,의령군,6.0,28.94,481.89,183245928,경상남도,118.25,14.1,14.02,0.07242445847147301
239,함안군,11.7,48.66,415.95,146990071,경상남도,129.98,66.20545454545454,14.188181818181818,0.07242445847147301
240,창녕군,8.02,42.55,530.41,104438142,경상남도,129.98,66.20545454545454,14.188181818181818,0.07242445847147301
241,고성군,6.97,36.28,520.44,0,경상남도,129.98,66.20545454545454,14.188181818181818,0.07242445847147301
242,남해군,6.59,23.94,362.98,0,경상남도,129.98,66.20545454545454,14.188181818181818,0.07242445847147301
243,하동군,5.94,40.2,677.11,0,경상남도,129.98,66.20545454545454,14.188181818181818,0.07242445847147301
244,산청군,4.87,38.59,792.11,285194079,경상남도,132.79,138.22,13.48,0.07242445847147301
245,함양군,4.14,29.86,721.08,143718607,경상남도,118.91,152.07,13.19,0.07242445847147301
246,거창군,4.6,36.78,799.64,0,경상남도,104.43,224.93,12.63,0.07242445847147301
247,합천군,4.47,43.97,984.07,253893734,경상남도,115.9,26.72,13.77,0.07242445847147301
248,제주시,12.49,122.97,984.45,37840336,제주특별자치도,128.99,20.79,17.02,0.10843130059619759
249,서귀포시,13.61,119.96,881.68,70265277,제주특별자치도,172.0,51.13,17.17,0.10843130059619759
